State,2000,Presidential,House,2002,House,2004,Presidential,House,2006,House,2008,Presidential,House,2010,House,2012,Presidential,House,2014,House,2016,Presidential,House,2018,House,latitude,longitude
Alabama,51.6,Republican,Republican,41.5,Republican,57.2,Republican,Republican,37.5,Republican,60.8,Republican,Republican,43,Republican,58.6,Republican,Republican,32.9,Republican,58.8,Republican,Republican,47.3,Republican,32.7665024,-86.8403091
Alaska,68.1,Republican,Republican,54.2,Republican,69.1,Republican,Republican,51,Republican,68,Republican,Republican,51.9,Republican,58.7,Republican,Republican,54.2,Republican,61,Republican,Republican,54.6,Republican,63.1741219,-153.7042847
Arizona,45.6,Republican,Republican,35.9,Republican,54.1,Republican,Republican,38.9,Republican,56.7,Republican,Democrat,41,Republican,52.6,Republican,Republican,33.4,Republican,54.9,Republican,Republican,49.1,Republican,34.2930794,-111.6646957
Arkansas,47.9,Republican,Democrat,41.3,Democrat,53.6,Republican,Democrat,38.7,Democrat,52.5,Republican,Democrat,37.5,Republican,50.7,Republican,Republican,40.1,Republican,52.8,Republican,Republican,41.4,Republican,34.8999214,-92.4388657
California,55.7,Democrat,Democrat,36.1,Democrat,58.8,Democrat,Democrat,40.2,Democrat,60.9,Democrat,Democrat,44,Democrat,55.1,Democrat,Democrat,29.9,Democrat,56.5,Democrat,Democrat,49.6,Democrat,37.2551003,-119.6175232
Colorado,57.5,Republican,Republican,46.3,Republican,66.7,Republican,Republican,47.3,Democrat,71,Democrat,Democrat,50.6,Republican,69.9,Democrat,Republican,53.7,Republican,70,Democrat,Republican,63,Democrat,38.9985428,-105.5478134
Connecticut,61.9,Democrat,Democrat,42.3,Republican,65,Democrat,Republican,46.6,Democrat,66.6,Democrat,Democrat,45.9,Democrat,61.3,Democrat,Democrat,42.3,Democrat,63.7,Democrat,Democrat,54.4,Democrat,41.5735016,-72.7383041
Delaware,59,Democrat,Republican,41.1,Republican,64.2,Democrat,Republican,42.3,Republican,65.6,Democrat,Republican,47.5,Democrat,62.3,Democrat,Democrat,34.3,Democrat,64.2,Democrat,Democrat,51.4,Democrat,39.0081253,-75.4674683
D.C.,48.3,Democrat,Democrat,30.1,Democrat,54.3,Democrat,Democrat,28.3,Democrat,61.5,Democrat,Democrat,28.9,Democrat,61.5,Democrat,Democrat,35.3,Democrat,60.4,Democrat,Democrat,43.7,Democrat,38.906189,-77.0172653
Florida,55.9,Republican,Republican,45.6,Republican,64.4,Republican,Republican,39.6,Republican,66.1,Democrat,Republican,41.7,Republican,62.8,Democrat,Republican,42.8,Republican,64.5,Republican,Republican,54.9,Democrat,28.4925804,-82.4722214
Georgia,45.8,Republican,Republican,35.4,Republican,56.2,Republican,Republican,34.7,Republican,62.5,Republican,Republican,39.8,Republican,59,Republican,Republican,38.2,Republican,59.1,Republican,Republican,55,Republican,32.6483307,-83.4445572
Hawaii,44.2,Democrat,Democrat,43.8,Democrat,48.2,Democrat,Democrat,37.9,Democrat,48.8,Democrat,Democrat,39.9,Democrat,44.2,Democrat,Democrat,36.2,Democrat,42.3,Democrat,Democrat,39.3,Democrat,19.5985184,-155.5185547
Idaho,57.2,Republican,Republican,44.7,Republican,63.2,Republican,Republican,45.4,Republican,63.6,Republican,Republican,42.3,Republican,59.8,Republican,Republican,39.3,Republican,59.2,Republican,Republican,50,Republican,44.3890343,-114.6594162
Illinois,56.2,Democrat,Democrat,41.4,Republican,61.5,Democrat,Democrat,40.2,Democrat,63.6,Democrat,Democrat,42.4,Republican,58.9,Democrat,Democrat,40.2,Democrat,61.6,Democrat,Democrat,51.4,Democrat,40.1139374,-89.1587677
Indiana,49.3,Republican,Republican,33.9,Republican,54.8,Republican,Republican,36.6,Democrat,59.1,Democrat,Democrat,37.1,Republican,55.2,Republican,Republican,27.8,Republican,56.4,Republican,Republican,46.9,Republican,39.9198036,-86.2817993
Iowa,63.2,Democrat,Republican,47.9,Republican,69.9,Republican,Republican,48.1,Democrat,69.4,Democrat,Democrat,49.9,Democrat,70.3,Democrat,Democrat,49.8,Republican,68.4,Republican,Republican,57.7,Democrat,42.0746994,-93.4999695
Kansas,55.6,Republican,Republican,44,Republican,61.6,Republican,Republican,43.6,Republican,62,Republican,Republican,41.7,Republican,56.9,Republican,Republican,42.5,Republican,57.7,Republican,Republican,51.2,Republican,38.484726,-98.3801727
Kentucky,52.2,Republican,Republican,37.2,Republican,58.7,Republican,Republican,40.4,Republican,57.9,Republican,Republican,42.4,Republican,55.7,Republican,Republican,44.2,Republican,58.6,Republican,Republican,48.6,Republican,37.5272331,-85.2876205
Louisiana,56.4,Republican,Republican,39.4,Republican,61.1,Republican,Republican,29.7,Republican,61.2,Republican,Republican,38.9,Republican,60.2,Republican,Republican,43.9,Republican,60,Republican,Republican,44.8,Republican,30.9665108,-91.8519058
Maine,67.2,Democrat,Democrat,50.8,Democrat,73.8,Democrat,Democrat,54.2,Democrat,70.6,Democrat,Democrat,55.2,Democrat,68.2,Democrat,Democrat,58.1,Democrat,70.7,Democrat,Democrat,60.2,Democrat,45.3152809,-69.203949
Maryland,55.5,Democrat,Democrat,46.3,Democrat,62.9,Democrat,Democrat,46.7,Democrat,67,Democrat,Democrat,46.4,Democrat,66.6,Democrat,Democrat,41.7,Democrat,66.4,Democrat,Democrat,54.2,Democrat,38.9525223,-76.7012177
Massachusetts,59.9,Democrat,Democrat,49.2,Democrat,64.2,Democrat,Democrat,48.8,Democrat,66.8,Democrat,Democrat,48.9,Democrat,65.9,Democrat,Democrat,44.1,Democrat,67.2,Democrat,Democrat,54.6,Democrat,42.1561852,-71.5661926
Michigan,59.9,Democrat,Democrat,44.5,Republican,66.6,Democrat,Republican,52.1,Republican,69.2,Democrat,Democrat,44.5,Republican,64.7,Democrat,Republican,42.7,Republican,64.7,Republican,Republican,57.8,Democrat,44.8626175,-85.7351379
Minnesota,69.5,Democrat,Democrat,64.1,Democrat,78.4,Democrat,Democrat,60.1,Democrat,77.8,Democrat,Democrat,55.4,Democrat,76,Democrat,Democrat,50.4,Democrat,74.1,Democrat,Democrat,64.2,Democrat,46.3493576,-94.1983719
Mississippi,49.1,Republican,Democrat,30.1,Republican,55.7,Republican,Republican,29.4,Republican,61,Republican,Democrat,37,Republican,59.3,Republican,Republican,29,Republican,55.2,Republican,Republican,42.7,Republican,32.7218018,-89.6562424
Missouri,58.2,Republican,Republican,45.6,Republican,65.3,Republican,Republican,50,Republican,67.6,Republican,Republican,44.5,Republican,62.2,Republican,Republican,31.7,Republican,62.2,Republican,Republican,53.4,Republican,38.3679657,-92.4778824
Montana,61.6,Republican,Republican,48.4,Republican,64.4,Republican,Republican,56.4,Republican,66.3,Republican,Republican,47.5,Republican,62.5,Republican,Republican,46.9,Republican,61.8,Republican,Republican,62,Republican,47.0334816,-109.6450806
Nebraska,56.9,Republican,Republican,39.9,Republican,62.9,Republican,Republican,47.6,Republican,62.9,Republican,Republican,37.5,Republican,60.3,Republican,Republican,40.5,Republican,62.8,Republican,Republican,51.8,Republican,41.5272713,-99.8111038
Nevada,45.2,Republican,Republican,36.2,Republican,55.3,Republican,Republican,36.9,Republican,57,Democrat,Democrat,41.3,Republican,56.4,Democrat,Republican,29.3,Republican,57.4,Democrat,Democrat,47.5,Democrat,39.3564186,-116.6554108
New Hampshire,63.9,Republican,Republican,48.1,Republican,70.9,Democrat,Republican,41.4,Democrat,71.7,Democrat,Democrat,45.7,Republican,70.2,Democrat,Democrat,47.6,Democrat,71.4,Democrat,Democrat,54.6,Democrat,43.6855278,-71.5775986
New Jersey,56.9,Democrat,Democrat,38.1,Democrat,63.8,Democrat,Democrat,39.5,Democrat,67,Democrat,Democrat,36.4,Democrat,61.5,Democrat,Democrat,31.1,Democrat,64.4,Democrat,Democrat,53.1,Democrat,40.1387787,-74.6769104
New Mexico,48.5,Democrat,Republican,38.6,Republican,59,Republican,Republican,42.5,Republican,60.9,Democrat,Democrat,42.8,Democrat,54.6,Democrat,Democrat,35.4,Democrat,54.5,Democrat,Democrat,47.3,Democrat,34.4213219,-106.1084061
New York,55.1,Democrat,Democrat,36.1,Democrat,58,Democrat,Democrat,34.9,Democrat,59,Democrat,Democrat,35.5,Democrat,53.1,Democrat,Democrat,28.2,Democrat,56.8,Democrat,Democrat,45.2,Democrat,42.9370804,-75.6106949
North Carolina,50.7,Republican,Republican,39.7,Republican,57.8,Republican,Republican,31,Democrat,65.5,Democrat,Democrat,39.2,Democrat,64.8,Republican,Republican,40.8,Republican,64.5,Republican,Republican,49.6,Republican,35.5393562,-79.185379
North Dakota,60.3,Republican,Democrat,48.5,Democrat,64.8,Republican,Democrat,44.9,Democrat,62.7,Republican,Democrat,46.2,Republican,59.8,Republican,Republican,43.8,Republican,60.8,Republican,Republican,58.6,Republican,47.4462967,-100.469429
Ohio,56.7,Republican,Republican,38.8,Republican,66.8,Republican,Republican,47.5,Republican,66.9,Democrat,Democrat,44.9,Republican,64.5,Democrat,Republican,35.1,Republican,62.9,Republican,Republican,50.9,Republican,40.4130516,-82.7112198
Oklahoma,49.9,Republican,Republican,41.2,Republican,58.3,Republican,Republican,36.4,Republican,55.8,Republican,Republican,38.8,Republican,49.2,Republican,Republican,29.9,Republican,52.3,Republican,Republican,42.5,Republican,35.5826988,-97.5086212
Oregon,64.9,Democrat,Democrat,50.8,Democrat,72,Democrat,Democrat,52.5,Democrat,67.7,Democrat,Democrat,52.7,Democrat,63.1,Democrat,Democrat,50.9,Democrat,66.2,Democrat,Democrat,61.5,Democrat,43.9388123,-120.5585861
Pennsylvania,54.1,Democrat,Republican,38.8,Republican,62.6,Democrat,Republican,44.1,Democrat,63.6,Democrat,Democrat,41.7,Republican,59.5,Democrat,Republican,36.1,Republican,63.6,Republican,Republican,51.4,Democrat,40.8965111,-77.8387527
Rhode Island,54.2,Democrat,Democrat,44.7,Democrat,58.5,Democrat,Democrat,51,Democrat,61.8,Democrat,Democrat,44.8,Democrat,58,Democrat,Democrat,41.7,Democrat,59.1,Democrat,Democrat,48.1,Democrat,41.4887123,-71.4543152
South Carolina,47,Republican,Republican,36.9,Republican,53,Republican,Republican,34.6,Republican,58,Republican,Republican,39.7,Republican,56.3,Republican,Republican,34.8,Republican,56.7,Republican,Republican,45.2,Republican,33.9038544,-80.8937683
South Dakota,57.7,Republican,Republican,60.7,Republican,68.2,Republican,Democrat,57.8,Democrat,64.7,Republican,Democrat,52.9,Republican,59.3,Republican,Republican,44.3,Republican,58.6,Republican,Republican,53.3,Republican,44.4361496,-100.2305069
Tennessee,49.9,Republican,Republican,39.6,Democrat,56.3,Republican,Democrat,41.4,Democrat,57,Republican,Democrat,34.6,Republican,51.9,Republican,Republican,28.6,Republican,51.1,Republican,Republican,45.1,Republican,35.8430023,-86.3430481
Texas,49.2,Republican,Democrat,34.2,Democrat,53.7,Republican,Republican,30.9,Republican,54.1,Republican,Republican,32.1,Republican,49.6,Republican,Republican,28.3,Republican,51.4,Republican,Republican,46.3,Republican,31.4627552,-99.3330307
Utah,53.8,Republican,Republican,37,Republican,58.9,Republican,Republican,34.3,Republican,56,Republican,Republican,36.3,Republican,55.5,Republican,Republican,29.7,Republican,56.8,Republican,Republican,52,Republican,39.3237381,-111.6782379
Vermont,64.1,Democrat,Independent,48.8,Independent,66.3,Democrat,Independent,54.9,Democrat,67.3,Democrat,Democrat,49.4,Democrat,60.7,Democrat,Democrat,38.9,Democrat,63.7,Democrat,Democrat,55.9,Democrat,44.0752029,-72.6626892
Virginia,54,Republican,Republican,29,Republican,60.6,Republican,Republican,44,Republican,67,Democrat,Democrat,38.7,Republican,66.1,Democrat,Republican,36.6,Republican,66.1,Democrat,Republican,54.8,Democrat,37.5127869,-78.6980972
Washington,60.7,Democrat,Democrat,41.8,Democrat,66.9,Democrat,Democrat,47.3,Democrat,66.6,Democrat,Democrat,53.2,Democrat,64.8,Democrat,Democrat,41.2,Democrat,64.7,Democrat,Democrat,58.9,Democrat,47.4112968,-120.5562668
West Virginia,46.6,Republican,Democrat,31.2,Democrat,54.1,Republican,Democrat,32.8,Democrat,49.9,Republican,Democrat,36.8,Republican,46.3,Republican,Republican,31.2,Republican,50.2,Republican,Republican,42.5,Republican,38.6424141,-80.6136169
Wisconsin,67.6,Democrat,Democrat,45.4,Republican,74.8,Democrat,Republican,53.2,Democrat,72.4,Democrat,Democrat,52,Republican,72.9,Democrat,Republican,56.6,Republican,69.5,Republican,Republican,61.7,Democrat,44.6417847,-89.7367401
Wyoming,59.2,Republican,Republican,50.1,Republican,65.7,Republican,Republican,51.1,Republican,62.8,Republican,Republican,45.5,Republican,58.6,Republican,Republican,39,Republican,59.5,Republican,Republican,48.7,Republican,42.9995766,-107.5515213
